streaming_log,mos,individual_scores,abr,content,encoding_profile,device,trace
0042.csv,55.752,[55 77 65 66 66 27 29 64 45 68 72 60 32 40 55 90 81 73 28 65 61 21 70 37 80 60 58 39 81],RateBased,game,H264,phone,6
0043.csv,53.565,[15 59 63 50 95 78 50 21 40 70 30 82 30 14 80 72 50 45 30 75 84 89 50 55 53 41 62 44 79],RateBased,game,H264,phone,7
0044.csv,71.916,[24 91 79 63 100 74 50 70 60 65 50 91 87 20 72 78 85 78 53 69 82 100 50 70 81 38 82 64 72],RateBased,game,H264,phone,8
0045.csv,61.191,[13 43 70 77 94 27 32 71 40 98 65 69 46 37 74 81 73 44 57 62 95 60 50 87 81 46 37 66 71],RateBased,game,H264,phone,9
0046.csv,79.778,[90 76 91 87 30 72 78 78 100 90 35 90 89 91 70 71 91 90 69 80 81 63 92 78 81 82 73 100 95 87 90],RateBased,game,H264,uhdtv,1
0047.csv,74.196,[54 79 25 61 80 83 60 61 75 83 79 80 84 86 87 88 45 90 87 80 89 58 55 88 70 71 85 94 85 86 78],RateBased,game,H264,uhdtv,2
0048.csv,59.078,[68 78 1 70 50 74 40 20 60 59 63 63 62 89 28 29 74 40 70 85 77 68 72 41 59 68 72 50 80 72 39],RateBased,game,H264,uhdtv,3
0049.csv,71.290,[91 86 21 71 83 80 60 30 85 65 83 90 80 75 59 63 69 70 63 71 92 58 84 43 70 69 63 89 85 92 90],RateBased,game,H264,uhdtv,4
0050.csv,82.070,[91 84 86 86 90 91 75 68 85 90 90 89 74 80 72 73 89 70 76 89 84 66 55 79 74 85 72 79 90 95 100],RateBased,game,H264,uhdtv,5
0051.csv,86.058,[93 80 100 95 39 60 85 99 100 90 93 96 100 95 68 96 95 100 41 78 92 73 89 100 75 82 81 95 80 100 100],RateBased,game,H264,uhdtv,6
0052.csv,47.557,[81 65 82 68 25 26 51 40 61 35 21 88 71 32 70 42 64 40 50 37 85 40 41 20 21 58 33 17 60 69 50],RateBased,game,H264,uhdtv,7
0053.csv,69.461,[79 70 92 86 80 61 70 57 75 45 69 69 74 62 50 68 75 90 25 61 80 59 87 38 51 61 81 66 65 100 89],RateBased,game,H264,uhdtv,8
0054.csv,66.389,[84 75 4 71 85 91 50 80 70 90 89 74 62 64 39 60 70 50 84 60 79 68 83 35 73 73 50 50 55 93 80],RateBased,game,H264,uhdtv,9
0055.csv,78.441,[100 69 81 81 55 82 60 39 99 64 91 71 100 75 70 55 90 50 50 100 64 85 85 65 100 93 85 88 92 86 70 86],RateBased,movie,H264,hdtv,1
0056.csv,68.929,[90 72 76 50 85 85 63 30 65 50 71 78 85 70 80 77 83 60 72 89 57 60 81 65 90 12 85 56 94 58 46 93],RateBased,movie,H264,hdtv,2
0057.csv,66.122,[75 83 85 49 66 66 59 17 50 39 72 64 50 80 60 68 92 55 85 58 41 35 76 39 84 1 85 54 94 67 76 99],RateBased,movie,H264,hdtv,3
0058.csv,72.946,[90 64 87 74 68 78 58 30 77 68 65 86 45 70 40 65 94 80 72 75 58 75 79 83 87 34 87 77 85 67 70 85],RateBased,movie,H264,hdtv,4
0059.csv,81.387,[90 80 99 62 73 93 95 13 87 90 67 100 100 90 75 88 66 100 92 94 56 70 90 69 95 89 84 87 98 33 78 100],RateBased,movie,H264,hdtv,5
0060.csv,84.117,[100 88 82 81 96 84 91 50 81 94 69 74 71 50 68 59 100 90 67 88 69 85 99 86 100 85 100 86 96 62 94 72],RateBased,movie,H264,hdtv,6
0061.csv,54.551,[70 75 60 58 50 81 50 89 58 39 33 70 40 50 65 32 38 20 68 56 41 55 33 50 65 78 60 32 83 67 45 50],RateBased,movie,H264,hdtv,7
0062.csv,66.464,[60 33 68 73 50 74 66 100 60 74 56 83 65 65 70 50 76 70 81 84 95 65 70 82 70 16 70 34 87 76 67 65],RateBased,movie,H264,hdtv,8
0063.csv,82.717,[95 75 91 78 78 82 75 100 78 81 76 73 100 100 85 67 95 65 92 87 81 65 78 80 95 100 82 66 92 80 68 86],RateBased,movie,H264,hdtv,9
0064.csv,85.587,[95 87 90 89 100 84 40 100 69 100 87 84 88 62 38 85 93 91 93 66 98 95 87 71 98 71 67 70 99],RateBased,movie,H264,phone,1
0065.csv,61.559,[55 54 68 57 88 50 45 83 47 70 76 69 44 43 61 90 73 40 82 64 70 61 82 31 86 63 21 66 47],RateBased,movie,H264,phone,2
0066.csv,53.911,[50 70 35 63 80 25 15 83 47 80 75 67 39 44 64 89 61 38 72 64 42 62 70 17 83 72 13 73 50],RateBased,movie,H264,phone,3
0067.csv,67.879,[63 76 73 98 89 25 36 76 47 95 71 71 45 74 74 92 82 82 70 71 84 39 73 37 80 65 44 65 72],RateBased,movie,H264,phone,4
0068.csv,79.266,[87 91 80 97 92 59 65 87 76 65 90 76 70 78 67 84 88 85 92 76 79 62 77 91 81 76 75 72 76],RateBased,movie,H264,phone,5
0069.csv,81.263,[86 80 100 75 88 86 50 99 66 94 71 76 82 63 100 100 75 82 87 66 98 85 86 76 86 60 65 94 64],RateBased,movie,H264,phone,6
0070.csv,67.097,[64 58 77 72 84 59 61 77 50 75 62 74 56 55 59 81 83 79 70 45 71 89 72 99 74 60 43 56 86],RateBased,movie,H264,phone,7
0071.csv,68.544,[40 83 91 94 93 62 71 80 56 70 69 63 83 48 68 87 85 75 69 100 85 100 50 50 44 64 59 72 57],RateBased,movie,H264,phone,8
0072.csv,82.272,[92 100 91 94 100 64 50 84 64 80 83 81 88 76 91 100 95 62 80 65 80 90 86 82 99 57 61 87 82],RateBased,movie,H264,phone,9
0073.csv,86.411,[94 91 92 90 100 97 89 84 100 87 40 95 100 89 94 85 81 70 63 95 88 95 95 97 68 76 69 64 95 96 100],RateBased,movie,H264,uhdtv,1
0074.csv,75.100,[83 85 1 89 85 82 80 81 80 86 91 80 82 87 75 60 79 65 50 73 96 71 89 80 72 85 38 61 95 92 70],RateBased,movie,H264,uhdtv,2
0075.csv,68.546,[81 82 1 83 75 82 62 40 75 40 85 59 75 88 72 21 75 61 77 40 72 66 94 27 85 81 48 69 80 89 52],RateBased,movie,H264,uhdtv,3
0076.csv,75.333,[80 83 6 79 68 85 78 86 75 85 80 92 89 78 70 65 90 50 80 88 73 69 71 81 82 90 62 74 85 86 81],RateBased,movie,H264,uhdtv,4
0077.csv,82.361,[92 79 50 86 97 100 88 78 90 90 71 91 60 92 80 65 87 79 68 92 50 66 79 77 76 100 63 91 75 92 95],RateBased,movie,H264,uhdtv,5
0078.csv,78.650,[90 80 21 85 79 76 91 73 85 85 80 97 77 94 74 65 86 73 95 87 66 79 100 84 64 82 61 64 95 88 84],RateBased,movie,H264,uhdtv,6
0079.csv,63.419,[61 65 88 70 35 66 70 68 85 71 61 90 84 76 71 47 78 30 67 42 78 59 64 60 50 35 61 50 70 69 30],RateBased,movie,H264,uhdtv,7
0080.csv,76.706,[80 85 92 77 70 79 70 90 85 63 81 73 82 90 63 60 82 83 50 72 88 58 90 60 72 91 81 70 75 100 44],RateBased,movie,H264,uhdtv,8
0081.csv,81.035,[90 70 99 94 65 99 78 82 100 85 84 84 75 99 74 74 92 62 62 100 90 71 100 94 80 68 35 68 95 76 90],RateBased,movie,H264,uhdtv,9
0082.csv,85.416,[100 94 100 79 50 96 89 100 100 78 81 78 66 65 85 78 100 70 67 62 98 85 100 89 100 81 86 83 100 69 75 97],RateBased,nature,H264,hdtv,1
0083.csv,73.216,[94 74 87 62 95 86 63 43 62 40 90 88 50 75 57 69 90 90 92 82 64 75 86 61 94 14 87 69 95 73 62 89],RateBased,nature,H264,hdtv,2
0084.csv,68.458,[90 93 81 63 87 77 61 50 41 40 48 50 45 85 40 60 89 60 80 93 56 55 70 80 88 58 85 39 96 77 83 89],RateBased,nature,H264,hdtv,3
0085.csv,74.309,[85 86 80 50 96 66 63 11 61 41 88 83 80 79 40 100 91 95 86 73 28 60 75 85 90 16 84 75 92 60 62 95],RateBased,nature,H264,hdtv,4
0086.csv,88.487,[100 73 73 66 97 96 91 70 100 72 98 91 100 100 100 89 100 100 77 100 76 80 100 71 100 97 94 92 100 73 59 86],RateBased,nature,H264,hdtv,5
0087.csv,86.473,[100 67 84 91 100 76 82 100 100 81 100 69 91 100 100 84 94 100 98 81 80 90 100 78 100 24 95 95 100 37 84 73],RateBased,nature,H264,hdtv,6
0088.csv,57.577,[69 76 50 80 50 92 59 55 63 40 78 65 60 70 70 36 70 50 42 30 77 50 61 58 60 18 50 24 85 64 42 50],RateBased,nature,H264,hdtv,7
0089.csv,70.986,[80 87 67 63 73 85 50 100 91 85 54 66 100 60 82 41 72 50 50 90 65 50 72 67 65 98 75 75 89 69 61 67],RateBased,nature,H264,hdtv,8
0090.csv,76.161,[95 69 50 71 83 84 77 45 59 85 83 76 89 65 60 78 86 70 62 88 39 75 89 64 95 89 83 41 91 65 87 88],RateBased,nature,H264,hdtv,9
0091.csv,82.219,[90 85 98 94 86 100 63 98 76 75 66 80 85 63 86 100 88 84 77 45 90 100 81 88 99 67 77 57 70],RateBased,nature,H264,phone,1
0092.csv,69.679,[73 85 87 90 90 43 65 80 43 77 80 66 63 57 71 85 72 34 80 64 92 37 76 59 91 75 59 89 71],RateBased,nature,H264,phone,2
0093.csv,63.253,[57 64 47 93 84 28 58 71 40 75 69 83 41 52 65 84 67 45 43 66 77 71 74 77 82 40 34 78 60],RateBased,nature,H264,phone,3
0094.csv,63.346,[86 53 59 82 75 36 37 40 45 75 80 69 29 73 40 91 68 67 66 71 82 34 63 87 90 75 62 59 64],RateBased,nature,H264,phone,4
0095.csv,79.454,[87 80 88 92 100 50 69 89 63 70 71 96 97 90 95 100 84 93 90 67 84 68 81 34 95 75 34 60 83],RateBased,nature,H264,phone,5
0096.csv,82.238,[90 64 90 93 100 58 64 87 82 90 92 85 94 90 80 100 93 84 86 90 86 80 80 70 100 89 69 35 77],RateBased,nature,H264,phone,6
0097.csv,67.599,[70 73 86 90 100 67 60 60 39 50 67 50 80 69 60 79 67 50 70 62 71 100 85 65 67 26 63 45 79],RateBased,nature,H264,phone,7
0098.csv,75.999,[75 81 69 92 100 77 76 70 70 77 84 82 75 78 67 70 66 72 87 62 100 85 76 70 89 78 37 60 100],RateBased,nature,H264,phone,8
0099.csv,70.959,[71 83 87 94 82 34 37 82 58 75 70 83 58 64 64 90 83 85 73 73 96 85 50 51 81 57 47 89 69],RateBased,nature,H264,phone,9
0100.csv,91.160,[95 88 100 90 79 97 100 86 100 90 76 100 87 90 97 59 100 100 76 100 100 65 100 100 81 95 50 70 100 93 90],RateBased,nature,H264,uhdtv,1
0101.csv,78.614,[88 81 10 85 72 89 85 85 85 90 41 88 79 89 85 54 87 92 87 87 96 73 92 81 73 91 68 50 90 94 80],RateBased,nature,H264,uhdtv,2
0102.csv,71.465,[84 79 29 81 77 75 80 80 70 80 85 83 81 73 68 27 79 60 50 82 88 30 83 71 83 100 66 50 85 94 66],RateBased,nature,H264,uhdtv,3
0103.csv,78.077,[83 81 75 81 85 100 65 60 55 70 93 93 67 92 78 67 50 80 71 80 81 64 100 80 84 91 72 65 85 74 97],RateBased,nature,H264,uhdtv,4
0104.csv,89.939,[100 75 100 88 99 85 95 100 85 95 57 96 82 100 84 84 100 100 94 100 96 67 82 68 70 100 87 85 95 97 92],RateBased,nature,H264,uhdtv,5
0105.csv,87.047,[100 81 86 96 50 100 100 80 90 95 14 100 72 100 80 98 100 100 90 100 83 59 100 100 69 100 64 100 100 100 94],RateBased,nature,H264,uhdtv,6
0106.csv,65.488,[81 60 95 65 35 61 70 52 90 66 13 83 84 92 83 50 87 62 75 61 63 62 88 32 73 50 66 67 60 74 30],RateBased,nature,H264,uhdtv,7
0107.csv,80.932,[93 73 89 82 80 76 80 75 100 75 86 89 100 75 83 70 84 94 82 100 79 61 81 78 65 69 66 78 80 89 80],RateBased,nature,H264,uhdtv,8
0108.csv,81.438,[90 83 50 86 90 95 67 78 85 85 86 95 68 83 77 60 91 50 66 94 84 69 98 83 83 85 67 83 90 94 60],RateBased,nature,H264,uhdtv,9
0109.csv,77.708,[95 72 97 70 92 89 58 100 95 80 90 50 50 65 70 34 66 50 85 81 80 75 85 83 92 81 80 71 95 52 84 89],RateBased,sports,H264,hdtv,1
0110.csv,77.141,[90 77 72 78 97 91 88 50 45 60 76 69 74 60 73 80 94 75 91 85 70 80 89 71 90 30 90 77 96 94 72 99],RateBased,sports,H264,hdtv,2
0111.csv,65.911,[85 35 70 61 96 72 60 1 50 68 83 50 100 80 57 78 65 85 98 90 25 65 60 39 85 27 85 64 50 50 57 84],RateBased,sports,H264,hdtv,3
0112.csv,70.717,[90 65 76 69 93 86 59 8 68 63 83 76 80 65 64 73 81 85 90 75 71 70 77 75 80 13 80 35 93 79 69 93],RateBased,sports,H264,hdtv,4
0113.csv,89.141,[100 100 82 78 95 100 66 88 96 83 83 74 100 80 100 99 90 100 96 95 83 80 90 100 100 94 96 60 100 95 50 98],RateBased,sports,H264,hdtv,5
0114.csv,82.958,[100 91 88 100 50 95 74 100 100 61 93 73 71 75 70 83 90 90 99 100 68 65 100 79 100 94 79 59 93 65 62 98],RateBased,sports,H264,hdtv,6
0115.csv,42.580,[30 65 75 76 9 56 12 60 60 60 32 12 75 65 55 25 2 60 15 26 80 35 1 31 45 34 29 28 65 31 69 92],RateBased,sports,H264,hdtv,7
0116.csv,51.426,[31 61 70 67 50 78 38 72 40 61 39 20 66 58 70 39 13 80 70 80 84 35 15 26 57 33 64 42 77 16 55 81],RateBased,sports,H264,hdtv,8
0117.csv,63.302,[70 36 91 57 49 58 50 8 69 71 66 50 80 60 65 72 10 75 86 90 53 35 82 50 70 22 80 58 77 82 51 81],RateBased,sports,H264,hdtv,9
0118.csv,75.790,[80 95 83 65 86 79 60 85 82 95 76 83 66 92 73 100 83 81 73 66 39 15 89 74 96 62 63 82 83],RateBased,sports,H264,phone,1
0119.csv,70.023,[60 62 80 90 87 23 50 82 50 85 85 72 41 91 75 86 86 61 69 42 86 40 83 79 78 61 80 74 68],RateBased,sports,H264,phone,2
0120.csv,59.134,[71 50 45 62 61 50 35 65 40 85 86 70 40 50 40 87 66 87 60 69 67 18 74 41 83 61 64 72 42],RateBased,sports,H264,phone,3
0121.csv,75.808,[71 85 87 93 95 94 63 88 70 80 80 71 48 60 76 90 76 73 59 67 86 63 85 69 77 71 64 74 81],RateBased,sports,H264,phone,4
0122.csv,85.460,[94 84 99 91 100 90 62 100 73 80 91 86 69 92 100 100 88 89 78 71 68 98 73 73 96 94 82 93 75],RateBased,sports,H264,phone,5
0123.csv,76.165,[73 88 85 84 99 83 63 50 71 80 75 85 90 92 80 100 85 84 92 64 88 36 84 88 84 73 60 86 58],RateBased,sports,H264,phone,6
0124.csv,49.252,[11 72 78 86 88 50 22 16 41 40 30 36 42 50 56 72 84 43 35 53 41 37 92 58 60 65 57 44 47],RateBased,sports,H264,phone,7
0125.csv,57.630,[31 92 72 68 95 60 50 41 56 80 60 40 72 50 66 72 82 64 46 62 35 36 50 78 66 56 68 70 49],RateBased,sports,H264,phone,8
0126.csv,60.375,[50 88 80 50 83 70 38 84 50 85 57 73 46 66 65 86 65 60 76 60 63 50 50 40 66 70 44 64 60],RateBased,sports,H264,phone,9
0127.csv,89.365,[95 80 89 82 100 98 90 96 100 80 86 94 80 96 80 69 97 100 82 100 87 75 100 87 63 91 66 84 80 100 100],RateBased,sports,H264,uhdtv,1
0128.csv,80.971,[85 72 35 82 84 92 73 84 80 80 93 91 76 90 69 48 82 58 42 89 87 74 92 76 40 100 70 72 90 92 100],RateBased,sports,H264,uhdtv,2
0129.csv,67.561,[87 62 37 81 35 84 50 84 60 55 60 86 65 85 86 68 66 71 24 70 79 62 84 77 70 88 41 64 85 90 30],RateBased,sports,H264,uhdtv,3
0130.csv,75.326,[75 81 1 85 87 91 58 79 75 90 81 89 89 80 74 45 84 68 78 88 70 75 90 84 82 100 37 69 80 93 80],RateBased,sports,H264,uhdtv,4
0131.csv,92.532,[94 78 83 97 98 100 90 81 100 80 84 100 97 86 91 89 88 100 96 100 85 72 100 100 82 100 94 90 100 100 90],RateBased,sports,H264,uhdtv,5
0132.csv,85.456,[93 85 100 85 95 100 85 100 100 84 89 96 74 93 71 56 92 100 87 100 87 63 72 98 71 100 41 76 90 100 75],RateBased,sports,H264,uhdtv,6
0133.csv,52.830,[43 70 27 49 30 15 50 59 80 43 34 33 66 62 74 32 89 5 83 48 84 69 72 50 32 30 81 50 45 93 40],RateBased,sports,H264,uhdtv,7
0134.csv,57.464,[63 60 50 50 71 64 55 63 85 40 30 59 68 81 71 27 86 19 65 50 81 71 79 63 31 38 64 50 60 68 40],RateBased,sports,H264,uhdtv,8
0135.csv,70.856,[80 75 50 80 50 78 65 60 80 45 73 83 70 82 78 66 69 65 93 86 76 74 88 70 62 70 66 50 85 85 35],RateBased,sports,H264,uhdtv,9
0136.csv,63.275,[60 64 73 88 50 71 50 54 65 61 65 62 39 65 65 38 67 80 64 72 45 65 76 82 70 35 70 63 83 64 50 74],RateBased,document,HEVC,hdtv,1
0137.csv,73.489,[90 84 50 50 92 88 58 26 69 87 60 76 50 80 65 84 89 70 96 81 59 70 80 84 87 33 83 36 93 56 61 93],RateBased,document,HEVC,hdtv,2
0138.csv,57.338,[70 81 82 45 75 79 50 1 23 20 33 50 40 50 25 65 71 70 91 75 16 25 70 50 80 38 77 35 91 85 67 97],RateBased,document,HEVC,hdtv,3
0139.csv,72.177,[85 84 85 85 80 85 92 18 58 42 63 87 80 85 65 60 91 80 74 84 71 65 84 76 90 22 80 78 90 31 59 93],RateBased,document,HEVC,hdtv,4
0140.csv,90.832,[100 100 100 94 89 84 86 95 96 95 82 81 100 100 90 71 99 100 97 59 86 80 100 87 100 83 100 78 98 86 80 96],RateBased,document,HEVC,hdtv,5
0141.csv,82.568,[95 71 85 95 94 74 65 91 50 78 72 69 88 85 60 82 94 95 94 100 93 70 83 59 92 90 85 82 85 83 53 75],RateBased,document,HEVC,hdtv,6
0142.csv,21.358,[20 1 22 29 1 1 15 1 91 36 17 38 74 50 50 8 1 25 10 59 29 5 17 31 5 33 34 20 45 61 33 30],RateBased,document,HEVC,hdtv,7
0143.csv,32.023,[32 32 27 11 25 20 50 1 31 67 21 9 50 65 23 22 1 35 36 92 59 25 38 30 38 40 38 69 65 30 31 38],RateBased,document,HEVC,hdtv,8
0144.csv,20.973,[10 5 32 22 34 70 34 33 50 3 17 2 40 50 35 25 3 10 14 53 12 10 12 17 1 31 34 22 65 22 25 50],RateBased,document,HEVC,hdtv,9
0145.csv,70.126,[24 73 76 81 100 53 59 79 60 85 62 50 39 72 80 83 88 87 57 67 78 56 85 86 56 42 63 71 60],RateBased,document,HEVC,phone,1
0146.csv,59.640,[60 50 44 71 88 38 66 81 40 80 72 50 48 60 40 78 69 42 65 71 87 38 70 29 78 68 60 70 48],RateBased,document,HEVC,phone,2
0147.csv,55.305,[61 71 30 86 92 17 16 73 40 85 70 50 14 34 53 72 79 40 41 68 90 67 50 100 65 35 65 64 57],RateBased,document,HEVC,phone,3
0148.csv,62.555,[78 57 68 90 95 43 30 78 38 70 80 42 46 50 65 85 69 90 60 61 43 50 77 68 89 73 32 73 79],RateBased,document,HEVC,phone,4
0149.csv,84.390,[100 100 96 100 88 78 85 100 72 100 91 62 91 92 90 93 90 92 94 73 83 35 42 69 94 67 87 86 69],RateBased,document,HEVC,phone,5
0150.csv,74.408,[80 82 85 85 97 62 60 73 62 87 72 47 86 78 72 89 76 96 77 64 75 77 86 70 85 50 59 80 65],RateBased,document,HEVC,phone,6
0151.csv,20.410,[3 33 16 36 78 36 50 3 37 40 41 8 5 8 17 1 22 41 1 25 16 19 1 31 33 20 61 22 50],RateBased,document,HEVC,phone,7
0152.csv,36.052,[11 50 39 57 77 37 50 13 35 30 36 39 34 25 60 25 34 74 27 40 6 14 50 31 21 48 50 50 74],RateBased,document,HEVC,phone,8
0153.csv,27.545,[13 30 1 50 92 50 34 19 30 60 10 30 23 30 37 1 43 32 10 60 21 30 50 9 26 35 67 1 48],RateBased,document,HEVC,phone,9
0154.csv,70.394,[80 80 29 70 37 58 78 78 85 70 85 88 81 62 75 39 83 75 50 77 80 72 64 68 50 71 76 25 80 82 81],RateBased,document,HEVC,uhdtv,1
0155.csv,71.697,[82 90 6 79 68 90 66 86 75 80 90 78 89 88 71 39 50 30 66 76 81 71 73 79 78 90 68 74 85 84 65],RateBased,document,HEVC,uhdtv,2
